geneNID,variantNID
5241,166563
20711,64073
5005,64075
15601,12373
11205,64085
3525,12375
327,12379
2699,12385
14437,12391
10709,64161
22201,64187
14073,12403
11183,64211
1491,64233
1141,166577
7619,12419
5317,12421
6075,64267
2299,64271
18587,64287
8745,64295
8925,12437
1177,907
8591,64323
7381,64331
12931,64339
13049,12447
8745,64371
18587,64375
21753,64381
18857,64383
16985,12457
543,64409
13325,12463
8025,64411
19225,64413
10579,64431
21619,64433
6027,64437
9261,64439
5063,12471
4049,64449
19135,64459
14353,64463
14073,12481
599,64467
1575,12485
15267,64471
8745,64475
4773,64477
18857,64477
12907,64479
13669,64479
8923,12493
16551,12501
16737,64503
7613,64527
2623,64547
7613,64557
22617,12529
13129,64577
19899,12537
15335,64595
15961,64597
7613,64601
465,64603
2881,12541
8399,12545
13637,12551
3897,166621
1333,64663
9657,12561
20259,12563
8077,12565
16295,166635
13,64717
4179,64721
4179,64723
4179,64729
16173,64737
18985,64749
6903,64755
18667,12595
10159,64765
8231,64787
1889,64801
6963,64807
6963,64809
6621,64815
1889,64819
8231,64827
2247,64831
8059,64841
8059,64845
3765,12611
11115,64867
14979,166653
6963,64871
5267,12615
6701,64897
9009,64899
1889,64905
3119,64917
6259,64921
4541,12637
16799,64937
12807,64947
14595,64949
15089,64953
14073,64961
2253,64963
16723,64973
8063,64985
6217,65005
10631,65009
845,12655
10631,65015
10633,65015
10631,65017
10633,65017
10631,65019
10633,65019
13083,65031
6219,65035
10631,65039
10633,65039
10631,65053
10633,65053
12517,65055
10631,65073
10633,65073
17473,65075
6219,65079
3839,65089
15167,65095
10631,65099
10633,65099
10635,65099
10631,65101
10633,65101
10635,65101
3949,65131
1509,166675
3839,65141
18251,65147
8371,12685
8035,65155
15191,65161
10631,65175
3839,65183
3839,65189
7525,65193
13811,65197
1957,65203
7005,65205
17471,65207
11615,65215
2449,65217
4119,65217
15797,65227
15181,65233
15191,65237
10631,65241
77,65249
19949,65253
10631,65259
6917,65263
17473,65265
483,65271
15191,65275
10631,65285
5451,65307
3839,65319
5319,166689
8481,65327
5985,65329
16351,65333
10747,65337
5775,166691
861,12713
10583,65359
13049,65377
20989,65383
2697,12725
12293,65391
14801,12727
8619,65407
10553,65423
12439,12731
13049,65425
771,65427
3675,65429
10183,65431
6793,65435
17349,12735
13049,65443
3359,166709
14307,166709
17625,65451
17277,65455
5459,65459
4073,65465
13049,65475
3675,65477
3675,65487
6369,65497
7185,166719
5835,166723
13049,65521
14457,65531
2075,65535
19919,65545
13049,65547
13049,65551
10243,65559
4029,12763
13049,65579
13049,65591
3513,166737
10243,65601
10243,65609
11073,12775
16835,12779
7247,65633
13049,65649
13049,65657
13049,65659
4675,166747
4189,65695
13563,166755
3271,166761
8909,12807
4551,12809
6713,12813
3943,12815
313,65707
313,65709
1407,65711
9923,12829
8185,166777
16817,12835
8307,12845
10445,12855
11325,12865
10323,166799
5809,166803
13811,12883
12881,166815
9721,12903
10019,12913
22803,12919
3839,12921
8975,12925
11997,12933
8319,65729
9935,12981
11809,12987
1053,166859
14801,12993
6563,65791
21359,12995
3077,65803
12191,65831
15421,13005
10935,65849
11833,65869
5423,65871
9763,65873
13439,65873
257,13011
4089,65877
787,13029
16201,13029
16391,65901
8619,65903
1975,13047
14303,65913
5241,13053
10269,166873
17725,166873
1681,65935
7081,13085
4559,166875
22255,166875
18169,65951
6183,65957
16119,65967
3077,13097
5907,13099
11259,13103
11661,13121
4879,66013
15491,13125
10631,66031
10633,66031
829,13137
12613,923
14663,66041
5923,66065
14801,66075
13931,66081
9297,13169
24405,66093
17929,66101
23111,66101
8237,66113
3727,13185
14931,66155
8397,66159
4629,13195
7283,13199
