geneId,geneName,numEntries
7157,TP53,987
2064,ERBB2,507
7124,TNF,500
1956,EGFR,475
5743,PTGS2,424
5728,PTEN,385
3845,KRAS,372
351,APP,342
183,AGT,325
672,BRCA1,311
367,AR,303
1029,CDKN2A,299
3569,IL6,293
673,BRAF,288
4524,MTHFR,281
348,APOE,271
2099,ESR1,267
675,BRCA2,245
7040,TGFB1,241
7422,VEGFA,236
5443,POMC,236
3717,JAK2,228
4846,NOS3,227
324,APC,225
3553,IL1B,209
999,CDH1,205
2263,FGFR2,198
4137,MAPT,198
1636,ACE,197
3952,LEP,195
6647,SOD1,194
1499,CTNNB1,193
5327,PLAT,187
5979,RET,183
4318,MMP9,178
1813,DRD2,178
4000,LMNA,174
6622,SNCA,174
5663,PSEN1,168
4292,MLH1,167
6331,SCN5A,163
5468,PPARG,163
3586,IL10,158
1080,CFTR,158
2200,FBN1,155
595,CCND1,152
3630,INS,149
472,ATM,147
5071,PRKN,145
64127,NOD2,144
6774,STAT3,144
627,BDNF,143
2056,EPO,143
596,BCL2,141
4204,MECP2,141
3815,KIT,140
5781,PTPN11,135
6532,SLC6A4,134
3077,HFE,134
7015,TERT,133
4436,MSH2,132
3953,LEPR,131
1280,COL2A1,129
6323,SCN1A,128
5290,PIK3CA,128
3265,HRAS,127
3123,HLA-DRB1,127
3949,LDLR,124
6648,SOD2,123
4647,MYO7A,122
120892,LRRK2,120
2261,FGFR3,120
5243,ABCB1,120
1401,CRP,119
2100,ESR2,117
6347,CCL2,116
1312,COMT,115
1756,DMD,115
4609,MYC,115
207,AKT1,113
1906,EDN1,111
6934,TCF7L2,111
3075,CFH,109
2706,GJB2,109
3784,KCNQ1,109
149233,IL23R,108
3479,IGF1,108
2153,F5,108
7428,VHL,107
5395,PMS2,103
4893,NRAS,102
540,ATP7B,102
4879,NPPB,101
4313,MMP2,101
238,ALK,100
2629,GBA,100
26191,PTPN22,99
6531,SLC6A3,98
5621,PRNP,97
7466,WFS1,97
6775,STAT4,97
2956,MSH6,96
4627,MYH9,96
2322,FLT3,96
2147,F2,94
590,BCHE,94
11200,CHEK2,94
5727,PTCH1,93
2778,GNAS,92
3162,HMOX1,91
775,CACNA1C,91
847,CAT,88
1277,COL1A1,88
2950,GSTP1,88
7490,WT1,88
3576,CXCL8,87
1588,CYP19A1,86
6513,SLC2A1,86
5310,PKD1,86
5077,PAX3,86
8626,TP63,86
4763,NF1,85
2260,FGFR1,85
5376,PMP22,84
2332,FMR1,82
6794,STK11,82
7249,TSC2,81
3106,HLA-B,81
861,RUNX1,81
5444,PON1,80
79068,FTO,80
9370,ADIPOQ,80
7048,TGFBR2,80
4089,SMAD4,80
7421,VDR,79
538,ATP7A,79
4286,MITF,79
1027,CDKN1B,78
2944,GSTM1,78
1440,CSF3,77
4233,MET,77
3458,IFNG,77
91147,TMEM67,77
5428,POLG,76
1282,COL4A1,76
3356,HTR2A,75
8314,BAP1,74
857,CAV1,74
3091,HIF1A,73
3043,HBB,72
2548,GAA,71
4843,NOS2,71
7248,TSC1,70
7273,TTN,69
3084,NRG1,69
65018,PINK1,69
3064,HTT,69
846,CASR,69
1302,COL11A2,69
27185,DISC1,68
4771,NF2,68
5925,RB1,68
4878,NPPA,67
5080,PAX6,67
7054,TH,67
6598,SMARCB1,67
7298,TYMS,66
7253,TSHR,65
3559,IL2RA,65
3767,KCNJ11,65
4625,MYH7,65
6928,HNF1B,65
6927,HNF1A,65
4359,MPZ,64
3383,ICAM1,64
4852,NPY,64
6121,RPE65,64
55800,SCN3B,63
2316,FLNA,63
2074,ERCC6,63
355,FAS,62
79728,PALB2,61
65217,PCDH15,60
6390,SDHB,60
23411,SIRT1,60
3418,IDH2,60
354,KLK3,60
773,CACNA1A,60
7137,TNNI3,60
94,ACVRL1,59
170302,ARX,59
2068,ERCC2,59
2623,GATA1,59
3757,KCNH2,59
4128,MAOA,59
6521,SLC4A1,59
6261,RYR1,59
5311,PKD2,58
5251,PHEX,58
4023,LPL,58
3690,ITGB3,58
1294,COL7A1,58
54901,CDKAL1,58
80184,CEP290,57
3425,IDUA,57
3481,IGF2,57
4297,KMT2A,57
1861,TOR1A,57
6663,SOX10,56
5894,RAF1,56
24,ABCA4,56
8200,GDF5,56
2707,GJB3,56
2775,GNAO1,56
2645,GCK,55
718,C3,55
5972,REN,55
6899,TBX1,55
7099,TLR4,55
7299,TYR,55
5156,PDGFRA,54
4851,NOTCH1,54
4221,MEN1,54
4653,MYOC,54
64072,CDH23,54
2697,GJA1,54
2022,ENG,53
1392,CRH,53
1814,DRD3,53
1832,DSP,53
7128,TNFAIP3,53
7139,TNNT2,52
7276,TTR,52
54658,UGT1A1,52
7852,CXCR4,52
488,ATP2A2,52
617,BCS1L,52
213,ALB,52
359,AQP2,52
338,APOB,52
249,ALPL,52
2908,NR3C1,52
5649,RELN,52
6262,RYR2,52
4607,MYBPC3,51
3596,IL13,51
368,ABCC6,51
2175,FANCA,51
3119,HLA-DQB1,51
3172,HNF4A,50
57817,HAMP,50
10804,GJB6,50
2737,GLI3,50
6387,CXCL12,50
2475,MTOR,50
6324,SCN1B,50
169026,SLC30A8,50
6469,SHH,50
6925,TCF4,50
10452,TOMM40,49
4683,NBN,49
11315,PARK7,49
5328,PLAU,49
5573,PRKAR1A,49
3440,IFNA2,49
1674,DES,49
185,AGTR1,49
